level_1,nose_to_shoulder_len,torso_height,shoulder_width_to_torso_height_ratio,hip_width_to_torso_height_ratio,nose_to_upper_ratio,nose_to_hip_len,arms_to_torso_ratio,nose_to_torso_ratio,shoulder_width_to_torso_ratio,shoulder_hip_ratio,torso_diagonal_ratio,nose_to_torso_height_ratio,leg_to_torso,n2sw,femur_to_torso,hand_to_leg,head_to_torso
count,56249.0,56249.0,56249.0,56249.0,56249.0,56249.0,56249.0,56249.0,56249.0,56249.0,56249.0,56249.0,56249.0,56249.0,56249.0,56249.0,56249.0
mean,109.006,226.398,0.447,0.322,0.308,335.405,0.543,0.466,0.397,1.826,1.042,0.503,1.518,4.301,0.793,0.794,0.508
std,94.795,71.909,0.454,0.273,0.084,136.043,0.528,0.927,0.239,7.114,0.477,1.044,1.302,24.118,0.929,0.818,1.094
min,0.0,2.014,0.0,0.0,0.0,25.162,0.038,0.0,0.0,0.0,0.044,0.0,0.01,0.0,0.005,0.008,0.0
25%,72.838,178.487,0.176,0.158,0.28,255.104,0.47,0.356,0.174,1.237,0.975,0.389,1.257,0.636,0.645,0.669,0.388
50%,98.375,230.092,0.554,0.361,0.301,330.035,0.508,0.4,0.504,1.498,1.011,0.431,1.386,0.795,0.706,0.729,0.429
75%,117.675,268.206,0.636,0.414,0.32,388.048,0.554,0.445,0.563,1.623,1.041,0.471,1.514,2.387,0.773,0.807,0.47
max,1555.631,1420.582,59.83,11.233,0.989,2454.665,52.382,87.372,11.015,1148.76,61.165,90.692,110.072,1454.775,93.592,113.93,96.181
low_b,5.583,43.909,-0.513,-0.226,0.219,55.687,0.344,0.224,-0.41,0.658,0.874,0.265,0.87,-1.989,0.452,0.462,0.264
up_b,184.929,402.785,1.325,0.798,0.381,587.464,0.68,0.578,1.147,2.202,1.141,0.595,1.901,5.013,0.966,1.014,0.593
count,8276.0,8276.0,8276.0,8276.0,8276.0,8276.0,8276.0,8276.0,8276.0,8276.0,8276.0,8276.0,8276.0,8276.0,8276.0,8276.0,8276.0
mean,87.216,195.56,0.523,0.339,0.303,282.776,0.476,0.42,0.467,1.667,1.012,0.459,1.375,1.453,0.704,0.765,0.459
std,56.072,71.482,0.227,0.165,0.075,106.748,0.198,0.293,0.187,1.629,0.182,0.309,0.4,6.365,0.262,0.329,0.319
min,11.352,40.133,0.0,0.0,0.046,70.145,0.054,0.048,0.0,0.0,0.103,0.048,0.169,0.0,0.065,0.136,0.048
25%,63.945,164.393,0.353,0.257,0.29,235.357,0.434,0.38,0.339,1.414,0.966,0.408,1.266,0.681,0.651,0.671,0.406
50%,92.66,206.394,0.605,0.377,0.316,296.866,0.462,0.42,0.541,1.545,1.0,0.462,1.36,0.803,0.696,0.729,0.461
75%,104.591,228.208,0.673,0.427,0.334,332.293,0.496,0.456,0.591,1.675,1.037,0.503,1.455,1.36,0.74,0.793,0.501
max,1297.902,1391.36,2.091,4.791,0.881,1601.378,10.448,7.019,1.724,62.165,6.142,7.425,12.01,367.527,9.97,11.997,7.481
low_b,2.977,68.671,-0.126,0.001,0.223,89.952,0.341,0.265,-0.039,1.023,0.859,0.267,0.983,-0.338,0.517,0.487,0.264
up_b,165.559,323.931,1.153,0.683,0.401,477.698,0.589,0.571,0.97,2.066,1.143,0.644,1.739,2.379,0.874,0.976,0.643
